provinsi;kode_provinsi;tahun;luas panen (ha);produktivitas (ku/ha);produksi (ton);jumlah penduduk ;luas provinsi (ha);produksi beras (ton);proyeksi konsumsi rumah tangga(ton);surplus/ defisit(ton);surplus/ defisit(%)*;harga beras(Rp);suhu;curah hujan (mm);penyinaran matahari (%);;
BANTEN;36;2022;337.241;53.04;1.788.583;12.252.000;966.292;1.018.649;1.112.361;-93.712;-8,42;11.541;28,18;230,87;;;
BENGKULU;17;2018;65.891;43.83;288.811;1.948.600;1.991.933;145.664;187.050;-41.386;-22,13;10.790;28,58;254,03;;;
BENGKULU;17;2019;64.407;46.03;296.472;1.971.800;1.991.933;169.878;168.471;1.407;0,84;10.740;26,87;152,08;;;
BENGKULU;17;2020;64.137;45.66;292.834;2.010.700;1.991.933;167.793;176.135;-8.342;-4,74;10.560;29,00;356,04;;;
BENGKULU;17;2021;55.705;48.67;271.117;2.032.900;1.991.933;156.154;182.477;-26.323;-14,43;9.840;27,11;;45;;
BENGKULU;17;2022;57.152;49.27;281.610;2.060.100;1.991.933;162.197;199.488;-37.291;-18,69;10.000;28,40;;59;;
DI YOGYAKARTA;34;2018;93.956;54.81;514.935;3.818.300;313.315;281.000;326.300;-45.300;-13,88;9.680;26,30;133,53;;;
DI YOGYAKARTA;34;2019;111.477;47.86;533.477;3.868.600;313.315;301.468;231.188;70.280;30,40;10.140;26,26;138,83;;;
DI YOGYAKARTA;34;2020;110.548;47.35;523.396;3.668.700;313.315;295.771;223.645;72.126;32,25;10.020;26,65;218,83;;;
DI YOGYAKARTA;34;2021;107.506;51.77;556.531;3.712.900;313.315;316.124;252.180;63.944;25,36;10.300;26,35;201,08;;;
DI YOGYAKARTA;34;2022;110.927;50.64;561.700;3.761.900;317.064;329.840;275.689;54.151;19,64;10.860;26,01;297,67;;;
DKI JAKARTA;31;2018;673;72.76;4.899;10.428.000;66.401;2.340;971.610;-969.270;-99,76;10.640;28,73;124,38;;;
DKI JAKARTA;31;2019;623;53.96;3.359;10.504.100;66.401;1.970;681.926;-679.956;-99,71;11.260;28,73;125,17;;;
DKI JAKARTA;31;2020;915;49.69;4.544;10.562.100;66.401;2.665;688.226;-685.561;-99,61;11.760;28,81;235,96;;;
DKI JAKARTA;31;2021;560;58.03;3.249;10.609.700;66.401;1.915;732.068;-730.153;-99,74;9.910;28,54;199,55;;;
DKI JAKARTA;31;2022;477;48.98;2.338;10.680.000;66.401;1.616;800.313;-798.697;-99,80;11.220;28,47;;;;
GORONTALO;75;2018;56.632;47.60;269.540;1.161.000;1.125.707;134.399;119.765;14.634;12,22;10.270;26,85;135,42;;;
GORONTALO;75;2019;49.010;47.18;231.211;1.176.400;1.125.707;128.435;102.206;26.229;25,66;10.440;27,00;130,23;;;
